Items_id,Items_name,status,price,stock,available_date,departments_id
228,Beat Item,available,767.68,298,2024-03-11,113
229,Really Item,available,570.28,452,2024-07-17,215
230,Other Item,available,360.84,321,2024-05-31,247
231,Four Item,available,732.12,245,2025-04-16,116
232,Every Item,pending,787.47,137,2023-09-26,244
233,Relationship Item,out_of_stock,253.53,171,2024-10-28,131
234,Former Item,out_of_stock,462.34,468,2023-10-23,223
235,Evidence Item,out_of_stock,867.83,251,2024-02-22,324
236,Catch Item,pending,109.99,457,2024-09-23,160
237,Quite Item,pending,369.9,123,2023-12-10,324
238,Lot Item,available,920.06,196,2023-12-22,135
239,Woman Item,available,755.9,406,2024-11-24,355
240,Would Item,available,526.34,378,2023-06-16,392
241,Act Item,available,670.54,209,2024-04-10,319
242,Pretty Item,out_of_stock,564.42,234,2024-07-01,399
243,Black Item,out_of_stock,138.17,320,2023-06-16,310
244,Note Item,available,231.67,435,2023-10-03,37
245,Move Item,pending,418.95,88,2023-11-12,317
246,Cause Item,pending,654.41,380,2025-04-14,164
247,Happy Item,out_of_stock,941.36,41,2025-03-05,227
248,Authority Item,available,446.44,179,2025-03-03,323
249,Election Item,out_of_stock,47.12,466,2024-02-02,279
250,Feel Item,out_of_stock,424.48,97,2023-08-21,42
251,Left Item,available,685.46,34,2025-01-27,269
252,Of Item,pending,113.51,435,2024-10-18,325
253,Five Item,out_of_stock,189.01,82,2024-08-08,21
254,Surface Item,available,418.14,42,2024-09-09,206
255,Newspaper Item,pending,474.64,121,2023-04-27,104
256,Region Item,out_of_stock,640.89,224,2025-01-14,24
257,Once Item,available,873.37,376,2023-12-09,68
258,Work Item,pending,656.22,10,2024-09-17,81
259,Body Item,out_of_stock,533.43,324,2025-04-19,143
260,Unit Item,available,73.22,31,2023-08-03,62
261,Everything Item,pending,84.49,14,2023-07-19,179
262,Voice Item,available,218.48,166,2023-07-13,137
263,Situation Item,available,396.27,41,2024-06-23,196
264,Clearly Item,pending,365.74,133,2023-11-18,40
265,Father Item,out_of_stock,708.99,208,2024-08-02,359
266,Develop Item,available,456.6,2,2024-10-29,186
267,Gun Item,pending,379.96,172,2023-09-26,292
268,Right Item,available,752.57,347,2024-08-25,313
269,Tonight Item,pending,327.61,340,2023-11-12,280
270,Mouth Item,available,811.78,171,2024-05-04,380
271,Enter Item,out_of_stock,948.09,453,2025-03-24,49
272,Whatever Item,out_of_stock,477.85,259,2025-02-06,43
273,Approach Item,available,808.99,88,2023-07-01,363
274,Protect Item,available,71.94,260,2024-03-15,211
275,Themselves Item,available,951.3,111,2023-11-21,110
276,Another Item,out_of_stock,117.0,204,2023-04-23,113
277,Goal Item,out_of_stock,398.4,423,2024-12-09,114
278,Case Item,pending,42.8,214,2024-08-27,280
279,Everybody Item,pending,30.04,322,2023-08-24,296
280,Site Item,out_of_stock,816.52,391,2024-03-29,198
281,Ok Item,out_of_stock,25.46,102,2024-10-20,115
282,Late Item,pending,867.74,343,2024-06-29,314
283,Act Item,pending,117.07,416,2023-07-16,245
284,Bag Item,out_of_stock,776.3,400,2025-03-06,313
285,Rock Item,pending,727.74,168,2025-03-23,275
286,Church Item,out_of_stock,893.62,194,2024-06-17,256
287,Also Item,out_of_stock,487.15,96,2025-01-28,36
288,Hope Item,available,977.81,27,2024-07-16,11
289,Old Item,available,103.39,196,2023-08-14,17
290,Law Item,pending,292.99,251,2023-07-28,125
291,Analysis Item,out_of_stock,32.98,238,2023-12-16,396
292,His Item,out_of_stock,114.8,265,2025-03-19,339
293,Worker Item,pending,977.89,142,2024-12-29,258
294,Traditional Item,available,439.69,269,2023-05-21,198
295,Way Item,out_of_stock,458.88,208,2024-01-23,280
296,Develop Item,available,757.49,305,2024-10-01,373
297,Enjoy Item,available,139.6,279,2024-09-20,334
298,Board Item,pending,723.33,438,2024-01-20,302
299,State Item,available,399.55,254,2024-06-28,12
300,Usually Item,available,814.25,15,2025-02-28,382
301,Investment Item,available,915.71,397,2024-08-15,79
302,So Item,out_of_stock,800.76,304,2023-08-19,377
303,Wish Item,out_of_stock,111.09,5,2025-04-12,165
304,Economic Item,out_of_stock,216.63,497,2025-02-20,243
305,Commercial Item,pending,237.37,245,2025-01-01,189
306,Talk Item,pending,962.37,273,2023-09-05,358
307,Upon Item,available,793.09,187,2024-03-06,208
308,Ago Item,available,800.27,468,2023-09-07,382
309,Since Item,out_of_stock,471.41,40,2025-04-08,326
310,Go Item,pending,760.79,454,2024-12-18,274
311,Word Item,pending,732.18,324,2024-03-05,5
312,Suffer Item,pending,992.49,312,2024-09-22,56
313,Treat Item,out_of_stock,745.5,135,2024-11-11,256
314,Talk Item,pending,979.84,335,2023-10-30,255
315,Example Item,available,972.52,213,2023-08-22,55
316,Store Item,available,754.66,139,2024-10-16,41
317,Box Item,out_of_stock,760.46,226,2024-02-12,198
318,Turn Item,out_of_stock,66.86,87,2023-05-21,139
319,Town Item,out_of_stock,354.46,263,2024-04-20,271
320,Doctor Item,available,46.67,236,2023-09-23,167
321,Technology Item,pending,747.94,123,2025-04-03,281
322,Magazine Item,out_of_stock,233.98,98,2024-01-17,23
323,Focus Item,pending,50.68,147,2025-01-17,110
324,Stuff Item,available,793.63,311,2025-02-25,262
325,Drive Item,available,238.76,87,2023-10-11,374
326,Agent Item,pending,580.64,33,2024-09-14,85
327,Data Item,pending,88.56,428,2024-02-24,122
328,Get Item,out_of_stock,33.74,134,2023-11-23,54
329,Treatment Item,available,954.07,97,2023-06-13,280
330,Spring Item,available,766.62,203,2023-11-23,323
331,Have Item,available,299.49,467,2024-08-31,235
332,Mr Item,out_of_stock,78.59,359,2024-02-25,284
333,Respond Item,available,713.84,482,2025-02-04,238
334,Not Item,available,63.67,279,2024-01-03,265
335,Wrong Item,out_of_stock,299.23,452,2023-05-12,162
336,Business Item,pending,362.89,394,2025-03-02,320
337,Every Item,out_of_stock,688.57,52,2023-09-06,57
338,Partner Item,out_of_stock,805.82,71,2023-11-13,153
339,American Item,out_of_stock,208.66,453,2023-07-14,80
340,Pick Item,pending,810.98,19,2024-03-23,356
341,Hair Item,out_of_stock,946.67,101,2024-11-06,182
342,Stop Item,available,44.69,464,2023-12-20,179
343,Least Item,out_of_stock,983.79,394,2024-08-03,324
344,Much Item,out_of_stock,852.67,428,2023-07-19,203
345,Image Item,pending,242.27,61,2025-03-19,355
346,Part Item,available,49.75,382,2023-09-15,375
347,Environmental Item,available,131.15,269,2023-05-25,374
348,Section Item,pending,838.05,462,2024-03-24,384
349,Ability Item,pending,990.16,487,2024-05-28,343
350,Wish Item,available,849.0,65,2025-01-06,87
351,Nothing Item,pending,640.82,203,2024-10-05,135
352,Serve Item,out_of_stock,982.03,496,2025-04-20,384
353,Site Item,available,790.38,17,2024-11-13,45
354,Religious Item,available,188.69,205,2023-09-21,93
355,Himself Item,pending,217.27,205,2024-03-20,329
356,Available Item,out_of_stock,188.16,6,2024-09-17,312
357,Wife Item,available,715.08,140,2024-01-02,132
358,Price Item,out_of_stock,886.61,166,2023-12-20,82
359,Record Item,out_of_stock,413.58,268,2025-02-07,340
360,Capital Item,out_of_stock,428.86,465,2024-10-31,118
361,We Item,pending,987.99,233,2023-12-10,136
362,Movement Item,available,708.45,165,2023-12-17,65
363,Reflect Item,out_of_stock,694.83,57,2024-03-03,278
364,General Item,pending,790.31,493,2024-02-27,388
365,Same Item,out_of_stock,560.02,221,2023-12-06,377
366,Once Item,pending,940.57,89,2023-07-28,219
367,Dark Item,out_of_stock,887.1,62,2024-03-12,92
368,Red Item,pending,789.88,455,2025-04-20,221
369,Hundred Item,available,194.83,85,2024-09-28,169
370,Smile Item,out_of_stock,966.3,33,2025-03-22,329
371,Contain Item,out_of_stock,813.41,439,2024-08-11,102
372,Outside Item,pending,327.36,419,2023-12-10,61
373,Into Item,available,359.11,36,2024-06-19,95
374,These Item,out_of_stock,54.01,154,2023-04-21,228
375,Fly Item,out_of_stock,945.82,59,2023-11-29,113
376,Develop Item,out_of_stock,651.43,458,2024-03-19,26
377,Stock Item,out_of_stock,119.92,94,2024-07-14,358
378,Policy Item,pending,415.94,17,2024-09-10,156
379,Fund Item,out_of_stock,726.25,207,2024-04-16,32
380,Letter Item,available,893.38,134,2024-03-29,243
381,Republican Item,out_of_stock,858.1,293,2023-10-03,40
382,Much Item,pending,279.44,166,2024-04-22,293
383,Student Item,available,516.85,120,2025-03-20,37
384,Style Item,pending,574.56,101,2024-11-12,84
385,Condition Item,out_of_stock,178.43,74,2024-09-13,127
386,Become Item,available,988.81,97,2023-11-27,16
387,Myself Item,out_of_stock,301.69,420,2024-09-17,96
388,Property Item,out_of_stock,694.64,168,2024-08-13,83
389,Government Item,pending,534.27,190,2023-07-02,345
390,Tell Item,available,544.21,358,2024-11-24,128
391,Easy Item,pending,56.21,103,2024-09-24,7
392,Force Item,out_of_stock,767.08,352,2023-10-12,23
393,Sure Item,available,362.22,347,2023-09-22,279
394,Choice Item,pending,685.99,212,2023-05-09,66
395,Any Item,available,610.85,362,2023-10-28,28
396,May Item,available,882.61,405,2024-08-07,356
397,To Item,out_of_stock,42.25,61,2024-12-07,164
398,Baby Item,available,241.56,310,2024-04-08,284
399,Join Item,pending,953.1,432,2025-03-09,252
400,Professional Item,available,35.05,437,2024-07-11,378
