tracking_number,order_status,delivery_method,order_id
TRK100119,shipped,pickup,119
TRK100120,delivered,pickup,120
TRK100121,shipped,express,121
TRK100122,shipped,pickup,122
TRK100123,delivered,standard,123
TRK100124,delivered,express,124
TRK100125,delivered,pickup,125
TRK100126,pending,express,126
TRK100127,shipped,pickup,127
TRK100128,delivered,pickup,128
TRK100129,shipped,pickup,129
TRK100130,shipped,pickup,130
TRK100131,shipped,standard,131
TRK100132,delivered,express,132
TRK100133,pending,pickup,133
TRK100134,pending,express,134
TRK100135,pending,pickup,135
TRK100136,pending,express,136
TRK100137,pending,pickup,137
TRK100138,pending,express,138
TRK100139,pending,standard,139
TRK100140,pending,pickup,140
TRK100141,pending,pickup,141
TRK100142,shipped,pickup,142
TRK100143,shipped,standard,143
TRK100144,shipped,standard,144
TRK100145,delivered,express,145
TRK100146,pending,pickup,146
TRK100147,pending,pickup,147
TRK100148,pending,pickup,148
TRK100149,delivered,standard,149
TRK100150,pending,pickup,150
TRK100151,pending,pickup,151
TRK100152,delivered,express,152
TRK100153,delivered,pickup,153
TRK100154,delivered,express,154
TRK100155,shipped,standard,155
TRK100156,shipped,express,156
TRK100157,delivered,express,157
TRK100158,pending,express,158
TRK100159,delivered,pickup,159
TRK100160,shipped,pickup,160
TRK100161,shipped,pickup,161
TRK100162,shipped,pickup,162
TRK100163,delivered,express,163
TRK100164,delivered,pickup,164
TRK100165,delivered,standard,165
TRK100166,shipped,pickup,166
TRK100167,delivered,pickup,167
TRK100168,shipped,express,168
TRK100169,shipped,express,169
TRK100170,shipped,standard,170
TRK100171,shipped,express,171
TRK100172,shipped,pickup,172
TRK100173,shipped,standard,173
TRK100174,delivered,express,174
TRK100175,pending,pickup,175
TRK100176,shipped,standard,176
TRK100177,pending,standard,177
TRK100178,pending,express,178
TRK100179,pending,pickup,179
TRK100180,shipped,pickup,180
TRK100181,shipped,express,181
TRK100182,pending,pickup,182
TRK100183,pending,express,183
TRK100184,pending,express,184
TRK100185,pending,pickup,185
TRK100186,pending,standard,186
TRK100187,pending,pickup,187
TRK100188,pending,standard,188
TRK100189,pending,standard,189
TRK100190,pending,standard,190
TRK100191,shipped,express,191
TRK100192,pending,express,192
TRK100193,shipped,pickup,193
TRK100194,delivered,express,194
TRK100195,delivered,standard,195
TRK100196,shipped,standard,196
TRK100197,shipped,pickup,197
TRK100198,shipped,pickup,198
TRK100199,pending,express,199
TRK100200,delivered,pickup,200
TRK100201,pending,standard,201
TRK100202,delivered,standard,202
TRK100203,pending,pickup,203
TRK100204,shipped,pickup,204
TRK100205,delivered,standard,205
TRK100206,shipped,express,206
TRK100207,pending,express,207
TRK100208,delivered,standard,208
TRK100209,shipped,express,209
TRK100210,pending,standard,210
TRK100211,shipped,pickup,211
TRK100212,pending,express,212
TRK100213,pending,express,213
TRK100214,delivered,standard,214
TRK100215,shipped,express,215
TRK100216,pending,express,216
TRK100217,pending,standard,217
TRK100218,delivered,standard,218
TRK100219,shipped,express,219
TRK100220,pending,express,220
TRK100221,delivered,pickup,221
TRK100222,shipped,express,222
TRK100223,delivered,standard,223
TRK100224,pending,express,224
TRK100225,shipped,express,225
TRK100226,delivered,express,226
TRK100227,pending,standard,227
TRK100228,pending,standard,228
TRK100229,delivered,pickup,229
TRK100230,shipped,pickup,230
TRK100231,pending,standard,231
TRK100232,shipped,express,232
TRK100233,pending,standard,233
TRK100234,shipped,express,234
TRK100235,pending,pickup,235
TRK100236,shipped,express,236
TRK100237,pending,express,237
TRK100238,delivered,express,238
TRK100239,pending,standard,239
TRK100240,shipped,standard,240
TRK100241,pending,pickup,241
TRK100242,delivered,express,242
TRK100243,pending,express,243
TRK100244,shipped,pickup,244
TRK100245,delivered,express,245
TRK100246,pending,standard,246
TRK100247,pending,express,247
TRK100248,shipped,pickup,248
TRK100249,delivered,pickup,249
TRK100250,pending,express,250
TRK100251,delivered,express,251
TRK100252,shipped,standard,252
TRK100253,shipped,pickup,253
TRK100254,pending,express,254
TRK100255,pending,express,255
TRK100256,shipped,express,256
TRK100257,delivered,standard,257
TRK100258,shipped,pickup,258
TRK100259,delivered,express,259
TRK100260,shipped,standard,260
TRK100261,delivered,pickup,261
TRK100262,delivered,express,262
TRK100263,pending,express,263
TRK100264,delivered,standard,264
TRK100265,delivered,pickup,265
TRK100266,delivered,pickup,266
TRK100267,delivered,standard,267
TRK100268,pending,pickup,268
TRK100269,pending,pickup,269
TRK100270,delivered,standard,270
TRK100271,delivered,express,271
TRK100272,delivered,standard,272
TRK100273,pending,pickup,273
TRK100274,shipped,standard,274
TRK100275,delivered,standard,275
TRK100276,pending,express,276
TRK100277,delivered,express,277
TRK100278,delivered,pickup,278
TRK100279,pending,standard,279
TRK100280,shipped,standard,280
TRK100281,pending,standard,281
TRK100282,pending,express,282
TRK100283,pending,pickup,283
TRK100284,delivered,express,284
TRK100285,delivered,pickup,285
TRK100286,delivered,pickup,286
TRK100287,pending,pickup,287
TRK100288,delivered,express,288
TRK100289,pending,standard,289
TRK100290,pending,express,290
TRK100291,delivered,express,291
TRK100292,pending,pickup,292
TRK100293,delivered,pickup,293
TRK100294,pending,express,294
TRK100295,delivered,standard,295
TRK100296,delivered,pickup,296
TRK100297,delivered,standard,297
TRK100298,shipped,pickup,298
TRK100299,delivered,express,299
TRK100300,shipped,express,300
TRK100301,shipped,standard,301
TRK100302,delivered,express,302
TRK100303,shipped,pickup,303
TRK100304,shipped,pickup,304
TRK100305,shipped,pickup,305
TRK100306,shipped,standard,306
TRK100307,pending,express,307
TRK100308,shipped,express,308
TRK100309,shipped,standard,309
TRK100310,pending,pickup,310
TRK100311,shipped,standard,311
TRK100312,delivered,pickup,312
TRK100313,pending,express,313
TRK100314,shipped,express,314
TRK100315,shipped,standard,315
TRK100316,pending,express,316
TRK100317,pending,pickup,317
TRK100318,delivered,standard,318
TRK100319,pending,express,319
TRK100320,shipped,standard,320
TRK100321,shipped,express,321
TRK100322,shipped,pickup,322
TRK100323,pending,standard,323
TRK100324,pending,pickup,324
TRK100325,delivered,express,325
TRK100326,delivered,standard,326
TRK100327,delivered,express,327
TRK100328,pending,pickup,328
TRK100329,pending,pickup,329
TRK100330,shipped,express,330
TRK100331,pending,standard,331
TRK100332,shipped,standard,332
TRK100333,pending,standard,333
TRK100334,delivered,express,334
TRK100335,pending,express,335
TRK100336,pending,pickup,336
TRK100337,shipped,pickup,337
TRK100338,shipped,standard,338
TRK100339,delivered,standard,339
TRK100340,delivered,express,340
TRK100341,pending,pickup,341
TRK100342,shipped,express,342
TRK100343,shipped,standard,343
TRK100344,delivered,standard,344
TRK100345,shipped,pickup,345
TRK100346,delivered,express,346
TRK100347,delivered,express,347
TRK100348,delivered,standard,348
TRK100349,pending,express,349
TRK100350,delivered,standard,350
TRK100351,shipped,express,351
TRK100352,pending,pickup,352
TRK100353,pending,standard,353
TRK100354,pending,pickup,354
TRK100355,pending,express,355
TRK100356,shipped,pickup,356
TRK100357,delivered,pickup,357
TRK100358,pending,pickup,358
TRK100359,shipped,standard,359
TRK100360,delivered,pickup,360
TRK100361,pending,express,361
TRK100362,shipped,pickup,362
TRK100363,pending,pickup,363
TRK100364,shipped,express,364
TRK100365,shipped,standard,365
TRK100366,shipped,pickup,366
TRK100367,shipped,standard,367
TRK100368,pending,pickup,368
TRK100369,shipped,standard,369
TRK100370,shipped,pickup,370
TRK100371,pending,express,371
TRK100372,delivered,express,372
TRK100373,pending,standard,373
TRK100374,shipped,pickup,374
TRK100375,pending,express,375
TRK100376,delivered,express,376
TRK100377,delivered,pickup,377
TRK100378,shipped,pickup,378
TRK100379,pending,express,379
TRK100380,pending,pickup,380
TRK100381,shipped,express,381
TRK100382,shipped,standard,382
TRK100383,shipped,express,383
TRK100384,pending,express,384
TRK100385,shipped,express,385
TRK100386,pending,standard,386
TRK100387,pending,standard,387
TRK100388,pending,express,388
TRK100389,delivered,express,389
TRK100390,delivered,pickup,390
TRK100391,shipped,express,391
TRK100392,delivered,express,392
TRK100393,shipped,express,393
TRK100394,delivered,express,394
TRK100395,shipped,standard,395
TRK100396,pending,express,396
TRK100397,pending,express,397
TRK100398,shipped,express,398
TRK100399,delivered,pickup,399
TRK100400,pending,pickup,400
